panel_row,arch,mechanism,cell,epoch,dev_cer
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,1,0.5119484860607028
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,2,0.3624692282658457
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,3,0.3048558055568596
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,4,0.2652302740788974
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,5,0.241275650585714
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,6,0.22393664901926
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,7,0.2105007199240779
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,8,0.1945852830390424
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,9,0.1880407910123166
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,10,0.1820090112069768
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,11,0.172379375951945
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,12,0.1640656583493317
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,13,0.1589538840135473
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,14,0.1548796779722469
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,15,0.1524453923443785
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,16,0.1483132818069048
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,17,0.1438122808927005
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,18,0.1435121089132589
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,19,0.1396353323287709
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,20,0.1341763874592305
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,21,0.1345176218003266
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,22,0.1317532198791997
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,23,0.1295523211450101
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,24,0.1276582675885261
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,25,0.1252816205064699
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,26,0.1267445992581276
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,27,0.1222358902396487
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,28,0.1195683567873564
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,29,0.117108159517021
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,30,0.1174439954261461
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,31,0.1171570347095075
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,32,0.1137685764171128
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,33,0.1151611663943697
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,34,0.1132904117303891
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,35,0.111104397708006
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,36,0.1111366881048191
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,37,0.1106038979327741
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,38,0.1086242959993839
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,39,0.1083560950084871
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,40,0.1065199496932172
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,41,0.1079803967070491
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,42,0.1062653932037397
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,43,0.1063020802219478
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,44,0.1056489992706314
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,45,0.1062663351046818
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,46,0.1057122358565285
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,47,0.1055364412816389
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,48,0.105571745572174
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,49,0.1051354023235373
0,rwkv6,vanilla,7m_rwkv6_causal_vanilla_seed42,50,0.1053304770380629
0,rwkv6,MSDC,7m_rwkv6_causal_multidil_v2_seed42,1,0.5106863256067206
0,rwkv6,MSDC,7m_rwkv6_causal_multidil_v2_seed42,2,0.341387276951605
0,rwkv6,MSDC,7m_rwkv6_causal_multidil_v2_seed42,3,0.2780003638805283
0,rwkv6,MSDC,7m_rwkv6_causal_multidil_v2_seed42,4,0.2397476683850218
0,rwkv6,MSDC,7m_rwkv6_causal_multidil_v2_seed42,5,0.2070118240675097
0,rwkv6,MSDC,7m_rwkv6_causal_multidil_v2_seed42,6,0.1925687028354265
0,rwkv6,MSDC,7m_rwkv6_causal_multidil_v2_seed42,7,0.1783494461508352
0,rwkv6,MSDC,7m_rwkv6_causal_multidil_v2_seed42,8,0.168354149206788
