panel_row,panel_col,panel_title,cell,layer,dilation,alpha
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,0,1,0.7007277011871338
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,0,2,1.0269941091537476
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,0,4,0.8322036266326904
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,0,8,0.7267332077026367
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,1,1,0.8280829191207886
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,1,2,1.3522346019744873
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,1,4,1.0315717458724976
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,1,8,0.830982506275177
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,2,1,0.9182747006416321
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,2,2,1.6934314966201782
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,2,4,1.433235764503479
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,2,8,0.970693826675415
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,3,1,0.7734109163284302
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,3,2,1.7630815505981445
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,3,4,1.5017088651657104
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,3,8,1.1887022256851196
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,4,1,0.6582352519035339
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,4,2,1.9222825765609741
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,4,4,1.7414941787719727
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,4,8,1.2516831159591675
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,5,1,1.0149551630020142
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,5,2,2.576500177383423
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,5,4,2.2237749099731445
0,0,"RWKV-6 (causal, 7M)",7m_rwkv6_causal_multidil_v2_seed42,5,8,1.3922908306121826
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,0,1,0.8330317139625549
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,0,2,0.45437508821487427
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,0,4,0.49830326437950134
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,0,8,0.3573859632015228
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,1,1,0.736626148223877
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,1,2,0.6613222360610962
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,1,4,0.616453230381012
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,1,8,0.49858585000038147
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,2,1,0.6886038780212402
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,2,2,0.6847168803215027
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,2,4,0.6420221328735352
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,2,8,0.49705028533935547
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,3,1,0.6740443706512451
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,3,2,0.7967423796653748
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,3,4,0.7997941970825195
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,3,8,0.5548717379570007
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,4,1,0.6028817892074585
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,4,2,0.9935318827629089
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,4,4,0.999434232711792
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,4,8,0.7647692561149597
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,5,1,0.6719074249267578
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,5,2,1.0501667261123657
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,5,4,0.8971352577209473
0,1,"Mamba-2 (causal, 7M)",7m_mamba2_causal_multidil_v2_seed42,5,8,0.5772217512130737
0,2,"LA (causal, 7M)",7m_linear_attn_causal_multidil_v2_seed42,0,1,1.1133203506469727
